,id,name,releaseDate,type,currentLowestPrice,currency,availability,price,seller,url
38,minecraft-dungeons,Minecraft Dungeons,2021-09-22,game,14.14,USD,OnlineOnly,24.76,Wyrel.com,https://wyrel.com/en/buy-cheap-minecraft-dungeons-pc-39120
39,minecraft-dungeons,Minecraft Dungeons,2021-09-22,game,14.14,USD,OnlineOnly,32.11,Instant Gaming,https://www.instant-gaming.com/en/9398-/
40,minecraft-dungeons,Minecraft Dungeons,2021-09-22,game,14.14,USD,OnlineOnly,35.31,GAMIVO,https://www.gamivo.com/product/minecraft-dungeons-hero-edition-pc
41,minecraft-dungeons,Minecraft Dungeons,2021-09-22,game,14.14,USD,OnlineOnly,39.99,Newegg,https://click.linksynergy.com/deeplink
42,minecraft-dungeons,Minecraft Dungeons,2021-09-22,game,14.14,USD,OnlineOnly,39.99,Steam,https://store.steampowered.com/sub/620265/
43,minecraft-dungeons,Minecraft Dungeons,2021-09-22,game,14.14,USD,OnlineOnly,39.99,Microsoft Store,https://click.linksynergy.com/deeplink
44,minecraft-dungeons,Minecraft Dungeons,2021-09-22,game,14.14,USD,OnlineOnly,45.36,Wyrel.com,https://wyrel.com/en/buy-cheap-minecraft-dungeons-pc-39120
45,minecraft-dungeons,Minecraft Dungeons,2021-09-22,game,14.14,USD,OnlineOnly,46.14,GAMIVO,https://www.gamivo.com/product/minecraft-dungeons-ultimate-edition-steam-gift
46,minecraft-dungeons,Minecraft Dungeons,2021-09-22,game,14.14,USD,OnlineOnly,47.36,Kinguin,https://www.kinguin.net/category/96982/minecraft-dungeons-ultimate-edition-steam-altergift
47,minecraft-dungeons,Minecraft Dungeons,2021-09-22,game,14.14,USD,OnlineOnly,47.95,G2Play,https://www.g2play.net/category/96982/minecraft-dungeons-ultimate-edition-steam-altergift
48,minecraft-dungeons,Minecraft Dungeons,2021-09-22,game,14.14,USD,OnlineOnly,48.12,G2A,https://www.g2a.com/minecraft-dungeons-ultimate-edition-pc-steam-gift-global-i10000190194027
49,minecraft-dungeons,Minecraft Dungeons,2021-09-22,game,14.14,USD,OnlineOnly,2034.82,VidaPlayer.com,https://www.vidaplayer.com/product/game-official-website-worldwide/minecraft-dungeons-hero-edition
50,minecraft-dungeons,Minecraft Dungeons,2021-09-22,game,14.14,USD,OnlineOnly,2094.2,Kinguin,https://www.kinguin.net/category/73945/minecraft-dungeons-hero-edition-windows-10-cd-key
51,minecraft-dungeons,Minecraft Dungeons,2021-09-22,game,14.14,USD,OnlineOnly,2120.03,G2Play,https://www.g2play.net/category/73945/minecraft-dungeons-hero-edition-windows-10-cd-key
52,minecraft-windows-10-edition,Minecraft - Windows 10 Edition,2015-07-14,game,21.33,USD,OnlineOnly,21.33,GAMIVO,https://www.gamivo.com/product/minecraft-starter-collection-pc-xbox-one
53,minecraft-windows-10-edition,Minecraft - Windows 10 Edition,2015-07-14,game,21.33,USD,OnlineOnly,21.39,Eneba,https://www.eneba.com/xbox-minecraft-windows-10-edition-xbox-live-global-key
54,minecraft-windows-10-edition,Minecraft - Windows 10 Edition,2015-07-14,game,21.33,USD,OnlineOnly,22.92,GAMIVO,https://www.gamivo.com/product/minecraft-windows-10-edition
55,minecraft-windows-10-edition,Minecraft - Windows 10 Edition,2015-07-14,game,21.33,USD,OnlineOnly,24.16,Eneba,https://www.eneba.com/windows-store-minecraft-windows-10-edition-windows-10-store-key-united-states
56,minecraft-windows-10-edition,Minecraft - Windows 10 Edition,2015-07-14,game,21.33,USD,OnlineOnly,24.16,Eneba,https://www.eneba.com/windows-store-minecraft-windows-10-edition-row-windows-10-store-key-global
57,minecraft-windows-10-edition,Minecraft - Windows 10 Edition,2015-07-14,game,21.33,USD,OnlineOnly,24.94,Kinguin,https://www.kinguin.net/category/33207/minecraft-windows-10-edition-cd-key
58,minecraft-windows-10-edition,Minecraft - Windows 10 Edition,2015-07-14,game,21.33,USD,OnlineOnly,26.83,Eneba,https://www.eneba.com/other-minecraft-java-bedrock-edition-official-website-key-global
59,minecraft-windows-10-edition,Minecraft - Windows 10 Edition,2015-07-14,game,21.33,USD,OnlineOnly,28.61,G2Play,https://www.g2play.net/category/33207/minecraft-windows-10-edition-cd-key
60,minecraft-windows-10-edition,Minecraft - Windows 10 Edition,2015-07-14,game,21.33,USD,OnlineOnly,29.99,Green Man Gaming,https://greenmangaming.sjv.io/c/1406679/1281797/15105
